Id,UserId,Avatar,Author,Content,ReactionsCount,Depth,SubCommentsCount,CommentAt,,,Link postingan,https://www.instagram.com/reel/DAfJfuySQXX/?utm_source=ig_web_copy_link
17959269419815628,4686324813,,meibiyani,Ka paula.. sehat slalu.. sy percaya banyak org y mendoakan kebaikan dan sayang dg kakak... Semoga Allah senantiasa merangkul diri hati dan iman kaka.. ❤️,5,0,1,09/29/2024 7:24 PM,,,,
18019384856600460,4169770817,,fachrina.rina,-@meibiyani eh muncul🥰,0,1,0,09/29/2024 7:50 PM,,,,
18373008193101416,3236837944,,asiah_theomar,Udah cantik berkelas gini masih aja suaminya ngerasa kurang ya? Lakiii gak ada bersyukurnya,0,0,0,09/29/2024 7:26 PM,,,,
18034690136001372,2072004205,,rizkacho,Seneng bgt sm paula smg istiqomah dgn hijab semakin baik ibadahny 🥰😇,0,0,0,09/29/2024 7:27 PM,,,,
17865849441215722,5517686866,,hijabnyarania,MasyaAllah,3,0,0,09/29/2024 7:28 PM,,,,
17863888617230770,1435871313,,bunyhv,❤️,0,0,0,09/29/2024 7:28 PM,,,,
18060459313670654,25459399364,,ummuertiga,Allahumma baariik...🥰,0,0,0,09/29/2024 7:30 PM,,,,
18015127550558654,1590004499,,wya.wahyuni,😍😍😍,0,0,0,09/29/2024 7:32 PM,,,,
18339916639124934,1086828326,,susiindriani02,MasyaAllah❤,0,0,0,09/29/2024 7:33 PM,,,,
17909460731932603,30078881249,,khairuniisaghazlan,"Kaaak paula,walau ak ga follow kamu, tapi ak mao doain km agar allah selalu berikan rahmat dan barokah nya untuk km kak paula,semoga kmu dan anak2 dalam lindungan allah selalu, amiin allahuma amiin, istiqomah yaa kak , walau sedikit berat tp km pasti kuat",0,0,0,09/29/2024 7:34 PM,,,,
18251701300261116,307053654,,yayank.ammy,MasyaAllah😢😍😍😇,0,0,0,09/29/2024 7:34 PM,,,,
18035775134324416,1677107801,,nie_harni,Kmrn pengen bikin kaya gini beb..malah ga sempet🤭 @dedesyarifah_,0,0,0,09/29/2024 7:35 PM,,,,
