Id,UserId,Avatar,Author,Content,ReactionsCount,Depth,SubCommentsCount,CommentAt,,,Link postingan,https://www.instagram.com/reel/C_k4Ny-yWfH/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==
17936050637791132,39700620245,,ryscaflorist,Aamiin ya rabb🤲Sampai jumpa di Baitullah kak😍Bismillahi AllahuAkbar 🤲🤲,3,0,0,09/06/2024 20:05,,,,
17861380230230302,3017644105,,tari.lestari92,Ciki...sampe nangis aku sangking pengen bgt ksna 😢,5,0,0,09/06/2024 20:05,,,,
17984969234706726,5703340789,,exma2029,❤️,5,0,0,09/06/2024 20:05,,,,
18042955993980731,7095073971,,dewi.defa.3,"Pengen, tapi khawatir meninggal masih punya tanggungan hutang.",102,0,9,09/06/2024 20:05,,,,
17907458136008486,4028632875,,indriaqilaa,Aamiin Yaa Robbal'alamiin,3,0,0,09/06/2024 20:05,,,,
18055448026698272,14313305264,,mella.deni,Sama dong dengan saya.,4,0,0,09/06/2024 20:05,,,,
18041963855311724,10866720,,ryana_dea,Mauuuu🥹,106,0,2,09/06/2024 20:06,,,,
18046514710933075,56473355893,,poppyyuanti,Aamiin ya allah😇🤲🏽,4,0,0,09/06/2024 20:06,,,,
17965934045658427,3018976983,,ridha_edkhayanti,Caranya gimana neng @citraciki,5,0,0,09/06/2024 20:06,,,,
18014566130538078,59019511033,,ulfafarida22,Amin ya Allah1🤲🤍,3,0,0,09/06/2024 20:06,,,,
18045209164779495,2261522363,,fianaaisya,Aamiin,3,0,0,09/06/2024 20:07,,,,
18039379841509349,2124809047,,nieyar_ayu,Amiin yaa Allah,5,0,0,09/06/2024 20:07,,,,
18044645380826010,4617050760,,wulandariariska92,Bismillah 🤲🏻🥹,3,0,0,09/06/2024 20:07,,,,
18056084698755077,3455208311,,layla_laura01,Bismillah semoga allah menakdirkan keluarga kami bertamu di rumah allah,6,0,0,09/06/2024 20:07,,,,
18038601263037931,1275421876,,indah.pratiwiee,Mauuuuuu🥹😍,40,0,0,09/06/2024 20:07,,,,
18017113325271443,4159197022,,diah_sackya,MasyaAllah Semoga diberikan kesempatan sama Allah untuk umroh...Aamiin,6,0,0,09/06/2024 20:07,,,,
18035272154510545,1282387426,,ummu_4l_fatih,❤️ Aamiin Yaa Rabbalaalamin 😢😢🔥,3,0,0,09/06/2024 20:08,,,,
18002061317488159,51782290917,,diajeng_fitry,YaAlloh mau ketanah suci🥹🥹,6,0,0,09/06/2024 20:08,,,,
18153882358317582,2224333198,,nova_adestya2430_m_husen,Y Allah mau bgt berangkatin mama SM Ade ksna...smg Allah memudahkan segala ny .. amminn.dn slnjut ny sy mnyusul brsama kluarga kecil sy.. amminn y Allah 🤲🙏,5,0,0,09/06/2024 20:08,,,,
18015546401304696,1542467911,,erna.apriani1,MaasyaaAllah,12,0,0,09/06/2024 20:08,,,,
18029360144212746,3401145432,,dheamoetz,Wah nnti bakal ktmu nih SM KA @citraciki  dsana,5,0,0,09/06/2024 20:08,,,,
18065542678613816,42640657508,,propertyidamanbintaro,😍❤️mashaAllah,3,0,0,09/06/2024 20:08,,,,
18012893459626596,2358246517,,rahayuu0304,Aamiin,3,0,0,09/06/2024 20:08,,,,
18022139261457263,26730799125,,erni.handayani18,Aamiin..Aamiin..Aamiin..bisa beribadah lagi ke Baitullah..,6,0,0,09/06/2024 20:09,,,,
18047962291738554,48996696196,,kangmas_fe,"Kapan ya (Allah), aku bisa seperti mereka ?",6,0,0,09/06/2024 20:09,,,,
18039624629088969,43641985042,,27_firdh44,❤️❤️❤️,5,0,0,09/06/2024 20:10,,,,
17907328011000996,59576909023,,nopi_yanti1994,Amiin kak ❤️,3,0,0,09/06/2024 20:10,,,,
17896198397981522,1266259935,,nuradzijah21,Semoga Allah pantaskan & mudahkan  saya ❤️ aamiin 🤲,5,0,0,09/06/2024 20:12,,,,
18045671902936586,1801443569,,dwirestuputri29,MasyaAllahTabarakallah,4,0,0,09/06/2024 20:12,,,,
18101974630428176,4104081022,,fitrysyafitry36,Amin yra semoga nyusul,5,0,0,09/06/2024 20:12,,,,
18089739988479017,2160238160,,triaini.ihsan,"Aamiin, smg rejeki bisa umroh dan haji utk kedua ortu😍",5,0,0,09/06/2024 20:12,,,,
18065013331716864,25449929842,,shafwaerlysa,"Cita2ku sy ingin berangkatkan ibu sy umroh, Tpi belum kesampaian Krn keterbatasan ekonomi 🙏😊",4,0,0,09/06/2024 20:13,,,,
18438297958065801,1968288952,,fitriya.nugroho,aamiin allahumma aamiin,3,0,0,09/06/2024 20:13,,,,
18024805871109851,3966760975,,es_teh_iztea,Aamiin allohumma aamiin,3,0,0,09/06/2024 20:14,,,,
17857382943247822,27195805862,,sucia_puput,Mauuu,3,0,0,09/06/2024 20:14,,,,
18003655715477759,418139568,,luluzakaria70,MasyaaAllah Aamiin Ya Allahuma Aamiin jadi pengeen sekeluargaa ke Tanah Sucii @citraciki sayang,19,0,0,09/06/2024 20:15,,,,
17934869723913247,2205943680,,novia_wulansari98,Aamiin 😇,2,0,0,09/06/2024 20:15,,,,
17862479073167871,1303054889,,atik_naseh,🩷,4,0,0,09/06/2024 20:16,,,,
18034244807134774,3082243140,,riezta_adi,Amin yra,5,0,0,09/06/2024 20:16,,,,
18017229698261813,53338284537,,ninanafsiyah,Aamiin aamiin Allohumma aamiin YA ALLAH🙏🙏🙏,5,0,0,09/06/2024 20:16,,,,
17884207776098943,7626035465,,nenysetianingsih,Aamiin ya Allah,3,0,0,09/06/2024 20:16,,,,
18074456125557401,6975271328,,embaama,MasyaAllah ❤️❤️,3,0,0,09/06/2024 20:17,,,,
17937898328867079,12603632085,,saimaputryhr,Aamiin,3,0,0,09/06/2024 20:17,,,,
18127794301371965,44518894330,,ninikninik37,Mas Athar msh cimit gemeeez bngt ❤️❤️❤️❤️,7,0,0,09/06/2024 20:17,,,,
18163556440313272,3888180288,,emiltansi03,Cita²ku sblm meninggal🥹,3,0,0,09/06/2024 20:17,,,,
18129765082368664,1910518440,,chaldyzt,Aamiin,3,0,0,09/06/2024 20:18,,,,
17859944604180871,40537238035,,widi3yanti,🤲🤲🤲,5,0,0,09/06/2024 20:18,,,,
17936830349865736,15657938041,,melskuyy28,Amin🤲🤲. Mau,6,0,0,09/06/2024 20:18,,,,
18031053410032282,6833676158,,dimasnureza,Aamiin ya Allah...doakan km skluarga mba ciki biar byk rejeki sht bsa k baitullah skluarga🤲,6,0,0,09/06/2024 20:20,,,,
17927928320930161,1562220569,,ulyuliani,"Mau ,tp .....",6,0,0,09/06/2024 20:20,,,,
18010198091354198,1562220569,,ulyuliani,.,5,0,0,09/06/2024 20:20,,,,
18039599126015550,30262931030,,vishaainayya28,"Mbak ciki, pengen kesana😢",5,0,0,09/06/2024 20:20,,,,
18026001089343221,8198571775,,sriartin298,Yaa Allah mampukan aku dan suamiku agar bisa ke tanah suciMu🤲🏼,5,0,0,09/06/2024 20:21,,,,
18097977718447952,1367779428,,dea.putrif,"Bismillah mau 😍 rezeki harus dijemput, ini jg disebutnya rezeki ❤️",6,0,0,09/06/2024 20:21,,,,
17881307478057335,2042835621,,rioand_uuss_sayanggg,Aamiin ya allah,3,0,0,09/06/2024 20:22,,,,
18075227263557863,1453211437,,anie_rohmanie,Mau bgt ya allah pgn bgt umroh aja bapak sama mamaku tapi uangnya ko ga kunpul2 semoga allah mudahkan aamiin,13,0,0,09/06/2024 20:22,,,,
18034457228176394,3287438841,,chi_chiyahh,Aamiin ya allah ka ciky🥹pengen bnget dri dlu blm bisa ngabulin keinginan bp pengen umroh & sampai akhirnya bp udh d panggil allah dluan 😢nyesel bnget blm bisa wujudin sekarang ibu aku jga pengen banget tapi aku jga blm bisa wujudin karna biaya blm ada🥺semoga bisa kesana aamiin ya allah,7,0,0,09/06/2024 20:22,,,,
18102351439432529,7703547900,,uun39,MasyaAllah ❤️,3,0,0,09/06/2024 20:22,,,,
18027622259084960,26787236186,,paulleeeeeul,😍😍,6,0,0,09/06/2024 20:23,,,,
18007386146419006,2025849234,,eloklina29,Insyaallah bisa ketemu kk ciki dan keluarga amin,6,0,0,09/06/2024 20:23,,,,
17908040559007677,1707434935,,nurjanah_1008,Aamiin Allahumma Aamiin 🤲🏻,3,0,0,09/06/2024 20:23,,,,
17983966784587974,47221826716,,dahlia_daffara,Aamiin yarobb🤲🏻🤲🏻,3,0,0,09/06/2024 20:23,,,,
18025352549112410,4019830515,,rumah_ar_razaq,Mau ya Allah😍,6,0,0,09/06/2024 20:24,,,,
18008951957380742,11848244989,,dapurm2maslevi,Aamiin ya rabbal aalamin 🤲🏻🤲🏻,3,0,0,09/06/2024 20:24,,,,
18038636243082714,507400153,,adystalania,Mau ya Allah… mau bangettt. Kabul kabul insyaa allah. 🤲🏻 udah senyesek ini rindu rumahMu ya Allah.😭😭,35,0,0,09/06/2024 20:24,,,,
18455181286019119,8456720980,,rusnani_123,Aamiin,3,0,0,09/06/2024 20:25,,,,
18042706957974639,981682877,,nenxiez,😍,5,0,0,09/06/2024 20:25,,,,
17977585613735714,44817203645,,aufarardha,MasyaaALLAH semoga diberi kesempatan bisa ke Baitullah bersama semua keluarga Aamiin 🤲🥰,9,0,0,09/06/2024 20:25,,,,
17861135241230144,6772766561,,entin_dwi_pertiwi,Mau,3,0,0,09/06/2024 20:26,,,,
18138574021350419,2028169918,,debhsbee,Aamiin yaa allah😇🙏,6,0,0,09/06/2024 20:26,,,,
18017416451260189,3057131711,,phaulfah,Ya Allah semoga cepet di panggil jadi tamu Allah ibadah di tanah suci Mekkah dan Madinah aamiin Ya robbal'alamin 🤲,6,0,0,09/06/2024 20:27,,,,
17931705875916307,228633469,,dewiedewie21,Mau bersama anak2 dan ibu sy,5,0,0,09/06/2024 20:27,,,,
18058066171736564,25281009721,,abigailnorina,Pengen 😢,3,0,0,09/06/2024 20:27,,,,
18045101404811050,59296914250,,fatimah.1847,❤️😍😢 masya Alloh...semoga secepatnya bisa panggil kami ya Alloh..,5,0,0,09/06/2024 20:27,,,,
18023066426378866,6342278692,,thereal_triaherayuda,Aamiin..ng fans banget sama masski dan pasangan ini..smoga ada rezekinya bisa ikut..aamiin 😇,7,0,0,09/06/2024 20:28,,,,
18280230469237917,56698186023,,anisatulngafifah,Aamiin ya Robbalami,6,0,0,09/06/2024 20:28,,,,
18005236454444832,44854283667,,qonita_mahf1,Aamiin ya Allah,3,0,0,09/06/2024 20:28,,,,
18045054286946245,4542008391,,ciaksuriak,Mau bangeettttt,2,0,0,09/06/2024 20:28,,,,
18418102114073105,3225540924,,atik.maryati123,Aamiin❤️,3,0,0,09/06/2024 20:28,,,,
17890718688083950,14972616093,,tatik.winarti.9275,"Amin ya Allah, insyaallah Allah segera mampukan aku dan keluargaku umrah ke tanah suci",6,0,0,09/06/2024 20:29,,,,
17913451412904277,38747148435,,ratihpurwasihnasir,Aamiin,3,0,0,09/06/2024 20:29,,,,
18044947633938065,3104769218,,hafidzlidinillah,Bismillahirrahmanirrahim ALLAHUMMA SHOLLI 'ALA SAYYIDINA MUHAMMAD WA 'ALA ALI SAYYIDINA MUHAMMAD 🤲🏻🤲🏻🤲🏻🕋🕋🕋🕋🕋🕋,6,0,0,09/06/2024 20:29,,,,
18110077759407759,434292807,,devyaprtw,❤️❤️,5,0,0,09/06/2024 20:29,,,,
18018302048246943,5531620868,,litma_faiq,Amiin,3,0,0,09/06/2024 20:30,,,,
18060818239727732,1095491215,,claralianda,Yuk bareng kak😢,3,0,0,09/06/2024 20:30,,,,
18055458226757083,2316150566,,kamaliahtamrin,Aamiin,3,0,0,09/06/2024 20:30,,,,
18059427970737279,645425680,,aridahhikmah,❤️❤️,9,0,0,09/06/2024 20:30,,,,
18018828395237638,2232190322,,efi.hamimah,Ya allah pengen bgttt bisa berangkat umroh sama ibuku🤲🏻😭😭,11,0,0,09/06/2024 20:30,,,,
18048140536929599,42780718211,,viviazka3,mauui bangett ya Allah impian dr duluuu😭,6,0,0,09/06/2024 20:31,,,,
18052124416852509,25626122019,,__ismisifa,Labaikallah humma labaik...😢,5,0,0,09/06/2024 20:31,,,,
17884382541078227,1338079965,,alifyash,Aamiin,3,0,0,09/06/2024 20:31,,,,
17907194153932754,44536980436,,may_huzul,Aamiin selalu sehat dan selamat atas rahmat Mu ya Alloh,6,0,0,09/06/2024 20:32,,,,
18013632632541655,3599919365,,paulayunita80,Bismillah MAUUUUU dan MAMPUKAN YAA ALLAH❤️😇,7,0,0,09/06/2024 20:32,,,,
18025967405365801,663277759,,berlianrosalia,❤️,5,0,0,09/06/2024 20:32,,,,
18338015710122726,2174817492,,fitribesemah,Maaf saya orang awam ka @citraciki  kalau umroh dulu bayar belakangan jatuhnya hutang bukan ya ka maaf mau tanya dulu,3,0,0,09/06/2024 20:33,,,,
17880161181125260,53150665425,,ekanurfajrinarmdhni_20,Masya Allah nak,4,0,0,09/06/2024 20:33,,,,
18276279316241777,3099023424,,yardiana_asli_sunda_tea,Caranya gimana mba citra??,4,0,0,09/06/2024 20:34,,,,
17960903222681077,55126875463,,haniditya1802,Smoga sy menyusul kerumah-Mu Ya Allah..Aaminn,4,0,0,09/06/2024 20:34,,,,
17937448445897725,6746870276,,auliahafizaa_,BismillahiAllahuakbar Aamiin,3,0,0,09/06/2024 20:34,,,,
18452436544057156,4710968610,,maulidatul_zuhriyah,Bismillah insyaallah,3,0,0,09/06/2024 20:35,,,,
