Id,UserId,Avatar,Author,Content,ReactionsCount,Depth,SubCommentsCount,CommentAt,,,Link postingan,https://www.instagram.com/p/DDuQTB6yNjp/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==
17896559031103997,8356384068,,lulunurfitriani7,Masyaallah cantik cantik banget sih😍 bisa yuk di DM Bu icis🤲 @vironikarosadi @cheryl_adzkiya @nhovie_yhana_irawan @rumiyana_ @noviyanti4937 @mar__jan_oren @mommykhalif @hanahabibah106 @nengmppie,2,0,0,12/18/2024 9:19 PM,,,,
18026924387276574,11121758921,,refyazzahra,Masya Allah,0,0,0,12/18/2024 9:19 PM,,,,
18052815631962474,53135110271,,ayyyaakkkk,MasyaAllah cantik sekalii indahh😍😍,0,0,0,12/18/2024 9:19 PM,,,,
17917116938932465,47805882840,,tatii.saadah,Allohumma sholli 'ala sayyidina Muhammad 🤲🏻 semoga tahun bisa umroh❤️,0,0,0,12/18/2024 9:19 PM,,,,
18010276901671454,3586516719,,vinsetiyo_,bu iciis cantik 😍,0,0,0,12/18/2024 9:19 PM,,,,
17929333715979518,50604152257,,__dindaspnt,MasyaAllah cantiknya🔥,1,0,0,12/18/2024 9:19 PM,,,,
17883768810190307,1689668349,,yayu_astriyanti_juniar,Post baru 3menit yg coment udh 100😍 bismillah di sawer bu icis😍❤️🔥 @riaricis1795,1,0,2,12/18/2024 9:19 PM,,,,
17931404129972326,47564275525,,itaa.ftr_a,masyaallah manusia idolakuuu😍❤️,1,0,0,12/18/2024 9:19 PM,,,,
18332156266158031,7215474551,,sitfatimaah_,Semangat ibu gemass❤️🙌😍,2,0,0,12/18/2024 9:19 PM,,,,
18073006015568902,46714948061,,aera.lee__,buicis malah kaya sama ponakannya malah bukan sama anaknya😫,1,0,0,12/18/2024 9:19 PM,,,,
18053244838956620,56605468451,,009.30.za,DUA BIDADARI CANTIK ❤️,1,0,0,12/18/2024 9:19 PM,,,,
17952092552889528,3048337321,,shaniahendriati94,Pengen ngerasain di SA WE R sama ibui nd moana cantik 😍 @riaricis1795,5,0,0,12/18/2024 9:19 PM,,,,
17974831064795939,55715143826,,miftah_al_jannah_,Masya Allah kak icis @riaricis1795 makin kesini makin cantik saja heheh sehat2 selalu kak icis.. doa yang terbaik buat keluarga kecilkak icis terutama Moana. Sehat2 selalu sehat dhohir dan bathin ya Kaka🤲🕊️😇 Aaaaamiiin Allahumma Aaamiiinn,5,0,2,12/18/2024 9:19 PM,,,,
18053336506974193,3161080864,,alvi_delmayenti,Karna kak icis udah pasti paling manis 🔥🔥#masyaallah,1,0,0,12/18/2024 9:19 PM,,,,
18057447367926650,50078149120,,yulnyti_,"masyaallah, so pretty ibuu mon😍❤️",3,0,0,12/18/2024 9:19 PM,,,,
18275963539222232,3691930698,,qisnaj_eng,😍😍,0,0,0,12/18/2024 9:19 PM,,,,
18054159397983418,24177358744,,_awulandari26,masya allah cantikk bgt bu icis❤️,1,0,0,12/18/2024 9:19 PM,,,,
18173495158313517,4280642494,,wahyuaveiro7,"katanya cuma dikirim ke aku doang, kok malah dipost😮‍💨",1,0,0,12/18/2024 9:19 PM,,,,
18060887593888090,44692093620,,neilantsyaaaw__,😍😍😍😍,0,0,0,12/18/2024 9:20 PM,,,,
18109873408392787,58640713755,,milftz_mill4_sadd,wihhh baruu nii,0,0,0,12/18/2024 9:20 PM,,,,
18054660781804110,55343457941,,papaw_dn,masyallah ka iciss❤️,1,0,0,12/18/2024 9:20 PM,,,,
18026158121626987,1735791763,,lenibudiasih,Bestie nya ibuk yaa moana ❤️❤️,1,0,0,12/18/2024 9:20 PM,,,,
"1,82768E+16",3822259126,,than_chaiiank,di atas mata ada mata batin😂,0,0,0,12/18/2024 9:20 PM,,,,
18050134283479681,48546901639,,ferditriyanto195,Mama mudaaa🙌🙌🙌 saweran jgn lupa hehe @riaricis1795,0,0,0,12/18/2024 9:20 PM,,,,
18321748036095223,3048337321,,shaniahendriati94,Pengen ngerasain di SA WE R sama ibui nd moana cantik 😍@riaricis1795,4,0,0,12/18/2024 9:20 PM,,,,
18046153358158607,43824508549,,nitaa.sn__,Aahh KOK CAKEPPP SIH MAMA MAULANA😍😍😍😍😍,4,0,0,12/18/2024 9:20 PM,,,,
17980155911642624,44116167747,,ilmaaulia44,Ada allah yg sllu mlindungi mu dan moana🙌❤️,1,0,0,12/18/2024 9:20 PM,,,,
18023117786628025,7551803582,,triikurniarahayu,Masyaallah cantik amat sihh ibu nya moana❤️❤️,1,0,0,12/18/2024 9:20 PM,,,,
18100007542473989,5882772575,,diniarvyan23,"Kenapa sih cantik bangetttttt MasyaAllah, gemesssss iboooooooo iciiiiiis love you ibu nya moana yang hebat sangat hebat 😍😍😍😍😍❤️❤️❤️❤️❤️❤️❤️❤️😍❤️😍❤️😍❤️😍❤️😍❤️😍❤️",4,0,0,12/18/2024 9:20 PM,,,,
17843928282383928,1930285958,,kurniawatiaulia,Di kaki masih ada sepatu,1,0,0,12/18/2024 9:20 PM,,,,
18042743374992450,5439334314,,sriwahyuni_central_phone,"Masya Allah,,, bahagia selalu Idola 😍",1,0,0,12/18/2024 9:20 PM,,,,
18054893734815196,6270770234,,ptrisekararum_,Diatas meja rindu itu hilang,1,0,0,12/18/2024 9:20 PM,,,,
